Angle,Inner_Radius,Outer_Radius,Distance
201,156.7322557739791,307.8830946966722,151.15083892269308
202,161.7714437099453,308.3115307606902,146.5400870507449
203,161.24515496597098,308.4623153644542,147.2171603984832
204,161.05899540230592,308.7798568559808,147.7208614536749
205,161.01242188104618,309.5109044928789,148.49848261183274
206,160.99689437998487,309.9193443462347,148.92244996624984
207,160.12495120998477,310.42068230064825,150.29573109066348
208,159.70597985047397,311.01446911679204,151.30848926631808
209,153.18289721767243,311.3278015211619,158.14490430348948
210,151.6047492659778,311.8268750444708,160.222125778493
211,151.7926216915697,309.5561338432821,157.7635121517124
212,151.47607071745688,297.43570733857763,145.95963662112075
213,150.88074761214565,297.87413449307746,146.9933868809318
214,156.98407562552325,298.77416220282504,141.7900865773018
215,157.63248396190426,299.4561737550255,141.82368979312122
216,157.4102919125684,300.0,142.5897080874316
217,157.8005069700348,300.6559495503124,142.8554425802776
218,158.05062480104277,300.79394940723125,142.74332460618848
219,158.38244852255568,301.2806001056158,142.89815158306013
220,158.79546593023366,302.0761493398643,143.28068340963063
221,159.3643623900902,302.5376009688713,143.17323857878108
222,159.28904544883179,303.5341825890455,144.2451371402137
223,159.86244086714052,304.108533257454,144.24609239031346
224,160.51479682571323,304.76384299978895,144.24904617407572
225,217.0829334609241,304.8032152061392,87.72028174521512
226,217.83020910791964,306.360898288277,88.53068918035734
227,218.08255317654368,312.2579062249665,94.17535304842283
228,218.16049138191818,317.49330701606925,99.33281563415107
229,219.10043359153812,322.9133010577297,103.81286746619159
230,220.0954338463204,329.84845004941286,109.75301620309247
231,220.51757299589528,335.47727195743084,114.95969896153557
232,172.80046296234278,343.4020966738555,170.60163371151273
233,173.0028901492689,350.03571246374275,177.03282231447386
234,173.44163283364233,349.44813635216315,176.00650351852082
235,173.92527130926086,321.1790777743781,147.2538064651172
236,173.89939620366712,328.1249761904753,154.22557998680819
237,168.9644933114647,329.34176777323586,160.37727446177115
238,167.90771274721124,329.7953911139451,161.88767836673384
239,168.5852899869974,330.32408328791286,161.73879330091546
240,169.30741271426953,330.9274845037807,161.62007178951117
241,169.19810873647495,331.53129565698623,162.33318692051128
242,169.53170794869024,332.29053552576545,162.7588275770752
243,169.941166289984,332.74164151785993,162.80047522787592
244,170.42593699317015,333.29416436535456,162.8682273721844
245,170.48753620133056,333.9476006801067,163.46006447877613
246,170.57842770995398,334.17510380038783,163.59667609043385
247,170.84788555905513,335.00597009605667,164.15808453700154
248,171.0263137648707,335.574134879314,164.54782111444328
249,171.2337583538947,335.6799070543246,164.4461487004299
250,171.73526137634053,336.48774123287166,164.75247985653112
251,172.02906731131225,336.7862823809782,164.75721506966596
252,159.10059710761615,336.8753478662397,177.77475075862353
253,155.08062419270823,337.3603414748094,182.27971728210116
254,154.80633061990713,337.6684764676738,182.8621458477667
255,162.5207679036744,338.11980125393427,175.59903335025987
256,168.34488409215172,338.35188783277096,170.00700374061924
257,165.95180023127196,338.19520990102745,172.2434096697555
258,166.1114083980989,337.34255586866,171.2311474705611
259,166.54428840401582,337.13053851586926,170.58625011185345
260,167.1944975171133,336.04315199093105,168.84865447381776
261,166.88319268278636,327.00152904841286,160.1183363656265
262,167.32304085211933,310.98713799769916,143.66409714557983
263,166.97305171793442,311.20732639190874,144.2342746739743
264,166.67633305301626,310.65253902068787,143.9762059676716
265,167.4305826305338,310.17736861350795,142.74678598297416
266,167.2423391369542,310.7104761671225,143.46813703016832
267,167.10774967068403,311.2715855968868,144.16383592620275
268,167.0269439342048,311.16073017011644,144.13378623591163
269,167.0029939851379,311.0401903291599,144.037196344022
270,167.0,312.04006153056696,145.04006153056696
271,167.0269439342048,336.1800113034682,169.15306736926337
272,167.10774967068403,337.4285109471338,170.3207612764498
273,167.2423391369542,337.78395462188547,170.54161548493127
274,167.4305826305338,338.2454729926182,170.8148903620844
275,169.66437457521835,338.81263258621277,169.14825801099443
276,181.0,338.91739406527955,157.91739406527955
277,180.7373785358192,338.61482542853906,157.87744689271986
278,180.87841220001906,338.02366781040644,157.14525561038738
279,180.5103875127412,337.6758800980609,157.16549258531967
280,180.8535318980528,337.3781261433527,156.52459424529988
281,180.42727066604982,336.93322780634145,156.50595714029163
282,180.2692430782356,336.57391461609143,156.30467153785582
283,179.96944185055418,336.17406205714326,156.20462020658908
284,179.97777640586628,335.6799070543246,155.7021306484583
285,179.8054504179448,335.0373113550191,155.2318609370743
286,180.08053753806934,334.48019373350047,154.39965619543113
287,228.65913495856665,334.0089819151575,105.34984695659085
288,228.32433072276814,333.6240399012038,105.29970917843565
289,228.37250272307304,332.7100840070827,104.33758128400964
